Game Title,Genre(s),User Rating (out of 100),Year,Summary,Director,Starring,Certificate
Super Mario All Stars 6 - Trilogy Worlds,Action,N/A%,2011.0,No information filled,unspecified,unspecified,unspecified
Nyû pazumatsusan: Shinpin sotsugyou keikaku,Action,N/A%,2017.0,No information filled,unspecified,unspecified,unspecified
Paneru wakusei,Action,N/A%,2016.0,No information filled,unspecified,unspecified,unspecified
Hustle Castle,"Action, Comedy, Fantasy",N/A%,2017.0,No information filled,unspecified,unspecified,unspecified
Lizard Wizard,"Action, Fantasy",N/A%,1985.0,No information filled,unspecified,unspecified,unspecified
Ever Brume,Action,N/A%,1997.0,No information filled,unspecified,unspecified,unspecified
Little Medusa,Action,N/A%,2018.0,No information filled,James Deighan,"Eric Bautista, Janley Clavio, Andrew Marsh",unspecified
Mistarc of Sky,Action,N/A%,2018.0,No information filled,unspecified,unspecified,unspecified
Jetfighter 2015,"Action, War",N/A%,2005.0,You start already in air and your mission is to destroy all targets. The plot is about terrorism in a near future (2015) and the player controls high tech planes which have good potential to easily maneuver and work around their enemies.,unspecified,unspecified,T
Otogami,Action,N/A%,2016.0,No information filled,unspecified,unspecified,unspecified
Cloudberry Kingdom,Action,43%,2013.0,"The Orb resurfaces and the old, maniacal, villain, Kobbler, kidnaps Princess once again. The retired hero, Bob, has to stop Kobbler and save Princess one more time. Will saving Princess this time finally win her love?",unspecified,"Martin Olson, Kevin Sorbo, Sam Sorbo",T
Ixion,Action,N/A%,1983.0,No information filled,unspecified,unspecified,unspecified
Stock-Car,Action,N/A%,1975.0,No information filled,unspecified,unspecified,unspecified
Burn,"Action, Sci-Fi",N/A%,2007.0,Burn is a first-person shooter.,unspecified,unspecified,unspecified
Nekomatsunyan,Action,N/A%,2016.0,No information filled,unspecified,unspecified,unspecified
Fate Hunters,"Action, Adventure, Fantasy",N/A%,2018.0,"Fate Hunters is a hardcore mix of strategy card battles and a roguelike adventure. Build your deck, explore the dangerous dark fantasy world and face fearsome foes. Risk your life to get powerful treasures.",unspecified,unspecified,unspecified
Kokuga,Action,N/A%,2012.0,No information filled,unspecified,Hiroshi Iuchi,unspecified
Crimson Clan,Action,N/A%,2019.0,No information filled,unspecified,unspecified,unspecified
Higuma suteppu,Action,N/A%,2017.0,No information filled,unspecified,unspecified,unspecified
Qwak!,Action,N/A%,1974.0,No information filled,unspecified,unspecified,unspecified
Black Rose Suspects,Action,N/A%,2017.0,No information filled,unspecified,unspecified,unspecified
Bucket Knight,"Action, Adventure, Fantasy",%,2019.0,No information filled,unspecified,unspecified,E10+
The Forgotten Ones,"Action, Adventure, Horror",N/A%,2014.0,No information filled,unspecified,Bernt Andreas Eide,unspecified
Space Ship,"Action, Sci-Fi",N/A%,1978.0,No information filled,unspecified,unspecified,unspecified
Yellow Spaceship!,Action,N/A%,2020.0,No information filled,unspecified,unspecified,unspecified
Asteroid,"Action, Sci-Fi",49%,1974.0,No information filled,unspecified,unspecified,unspecified
Awesome Pea 2,"Action, Adventure",N/A%,2020.0,No information filled,unspecified,unspecified,unspecified
Ninja Emaki,"Action, Adventure, Fantasy",N/A%,1986.0,No information filled,unspecified,unspecified,unspecified
Acrobat Mission,"Action, Sci-Fi",%,1991.0,No information filled,unspecified,unspecified,unspecified
