Game Title,Genre(s),User Rating (out of 100),Year,Summary,Director,Starring,Certificate
ASZG Project,"Action, Horror, Mystery",N/A%,2023.0,"After a long period of global pandemic, the new virus DK-19 assailed the population. Many deniers claim that genetic mutation was a side effect caused by vaccines developed in a short period of testing and research. However, political activists fight this claim by saying that the genetic mutations of the DK-19 virus are from infected people who, in a negacionista position, contracted the virus in an asymptomatic way, stimulating mutations through adverse treatments, such as the use of Chloroquine and Viagra. Regardless of the cause of the mutations, the DK-19 virus caused great damage to the bodies of the infected, generating chaos that had long been predicted.",unspecified,Paulo Sacilotti Junior,unspecified
The Last Blade,"Action, Fantasy",82%,1997.0,"Two worlds once existed since ancient times. The world of the living, Ushyo, and the land of the dead, Tokoyo. A legendary boundary to forever separate them, The Hell's Gate, has existed since the birth of myths to keep an universal balance. There is said to be four gods that defend it: Seiryu of the East, Byakko of the West, Genbu of the North, and Suzaku of the South. They eternally perform their duty from the shadows of legend and were eventually forgotten by people as time passed.",unspecified,"Makoto Awane, Jun Hashimoto, Enma Ito, Katsuyuki Konishi",Not Rated
Terra Cresta,"Action, Sci-Fi",48%,1985.0,"You take control of a powerful fighter known as the Wing Galibur. The Wing Galibur can combine in five parts: Alpha, Beta, Gamma, Delta, and Epsilon, to become much more powerful. Your mission is to defeat Mandler and its army before they can destroy all of humanity.",unspecified,unspecified,unspecified
The Adventures of Batman & Robin,Action,63%,1995.0,"The Sega Game Gear version of ""The Adventures of Batman and Robin"" is a platforming brawler game. When the Joker kidnaps Robin, Batman must fight his way through four levels of goons and villains in order to rescue him. Along the way he must defeat the Mad Hatter, Mr. Freeze, Scarecrow, Harley Quinn, and finally the Joker using punches, kicks, and an unlimited supply of Batarangs.",unspecified,László Mérõ,unspecified
Assassin's Creed: Pirates,"Action, Adventure, History",61%,2013.0,"Captain Alonzo Batilla commands a ship and crew, while crossing paths with the Assassins and Templars. Gameplay focuses on real-time battles between ships, and features both wind and weather that will affect how players proceed. Designed for high end smartphones and tablets.",unspecified,Emily Francis,unspecified
Hyperdimension Neptunia,"Action, Fantasy, Sci-Fi",74%,2010.0,"After being defeated by the three goddesses of Gamindustri, Neptune, the amnesiac goddess of Planeptune, soon reawakens and goes on a quest to find the Key Fragments needed to free Histoire and battling against the former goddess Arfoire.",Fuyuhiko Takata,"Rie Tanaka, Rina Satô, Asami Imai, Kana Asumi",T
Death Trap,"Action, Sci-Fi",N/A%,1983.0,No information filled,unspecified,unspecified,unspecified
Blue Max,Action,72%,1984.0,No information filled,unspecified,unspecified,unspecified
Carmageddon 2: Carpocalypse Now,Action,51%,1998.0,"Racing game for Nintendo 64. A catastrophic solar event toxifies Earth's atmosphere, making zombies of anyone exposed. Carmageddon racers compete, colliding with zombies while hoping to win a new life in the off-world colonies.",unspecified,Janet James,M
Sprint Vector,"Action, Fantasy, Sport",N/A%,2018.0,The most popular game show in the universe is always scouting for stars...and its newest batch might not survive.,James Iliff,"Martin Billany, Chris Jai Alex, Cristina Valenzuela, Kira Buckland",unspecified
Iron Danger,Action,N/A%,2020.0,Iron Danger is a tactical combat game with a unique time manipulation mechanic. A never before seen combination that blends the tactical depth of turn-based games with the exciting action of real-time games.,Jussi-Petteri Kemppainen,"Clare Louise Connolly, Neil McCaul, Russ Bain, Naomi Sheldon",unspecified
Zyuden Sentai Kyoryuger: Game on Gaburincho,"Action, Adventure",N/A%,2013.0,No information filled,unspecified,"Ryô Ryûsei, Shûsuke Saitô, Yamato Kinjo, Akihisa Shiono",unspecified
Hamtaro: Ham-Hams Unite!,"Action, Adventure, Family",88%,2001.0,"HamTaro: Ham-Hams Unite is an adventure game where you play as the loveable Carrot-headed Hamtaro as he learn over 80 different words in the Ham-Ham dictionary, find his Ham-Ham pals, and get in many wacky adventures",unspecified,Mariko Yumoto,E
WWE Immortals,Action,73%,2015.0,"Fight The rock, big show and many more wwe superstars In Wwe immortals!",unspecified,unspecified,unspecified
Brigand: Oaxaca,"Action, Adventure, Fantasy",N/A%,2017.0,"Brigand: Oaxaca is a highly difficult post-apocalyptic RPG/FPS set in Mexico. Emphasis is on challenge, a branching story with multiple endings, and total freedom of action (kill friendly characters, rob stores, jump across roofs, etc.).",Brian Lancaster,"Audrey Bretthauer Cohen, Jeff Hay, Bennett Ponting, Sean Cohen",unspecified
Sagaia,"Action, Adventure, Sci-Fi",69%,1989.0,"Darius II is a 1989 shoot 'em up arcade video game developed by Taito, It is the direct sequel to the 1987 Darius.",unspecified,Hidehiro Fujiwara,E10+
Gladiator Trials II,"Action, Adventure, Fantasy",53%,2007.0,No information filled,Jeremy Russell,Casey Mongillo,unspecified
Lunar Rescue,"Action, Sci-Fi",52%,1979.0,No information filled,unspecified,unspecified,unspecified
B-17: Fortress in the Sky,"Action, War",N/A%,2007.0,Action-oriented combat flight simulator where you take control of a Boeing B-17 Flying Fortress bomber crew in several missions above Europe in World War Two.,unspecified,unspecified,unspecified
Dogyuun,"Action, Sci-Fi",63%,1992.0,No information filled,unspecified,unspecified,unspecified
Astro Blaster,"Action, Sci-Fi",%,1981.0,No information filled,unspecified,unspecified,unspecified
Toshinden 2X PP,"Action, Adventure, Drama",69%,2004.0,No information filled,"Takeshi Ikenoue, Carlos Rodriguez, Richard Sallis","Kyôko Hikami, Kikuko Inoue, Maria Kawamura, Yukimasa Kishino",unspecified
Viewtiful Joe 2,"Action, Adventure, Comedy",76%,2004.0,Play as Viewtiful Joe or his girlfriend Silva and battle against over 40 new enemies in this sequel to,Masaaki Yamada,"Dee Bradley Baker, Cristina Pucelli, Keith Szarabajka, Gregg Berger",T
Doom II RPG,"Action, Adventure, Fantasy",72%,2009.0,"While there's not much known about the monster invasion in UAC bases on Mars, another monster invasion happened on Earth's moon. A team of soldiers accompanied by a scientist have ventured to the UAC bases on the Moon to investigate.",unspecified,Katherine Anna Kang,T
Metal Max: Fireworks,Action,N/A%,2015.0,No information filled,unspecified,unspecified,unspecified
Yu-Gi-Oh!: The Duelists of the Roses,"Action, Fantasy",71%,2001.0,Yugi and Kaiba battle in the Rose War and this time it's in England.,unspecified,Morikuni Kubo,E
Ghost Blade HD,Action,N/A%,2015.0,No information filled,unspecified,unspecified,unspecified
Army Men: Advance,"Action, Adventure",55%,2001.0,No information filled,unspecified,unspecified,E
Bloons Tower Defense Battles 2,"Action, Fantasy, Sci-Fi",61%,2021.0,Compete against other players in this sequel.,unspecified,unspecified,unspecified
KAO the Kangaroo,"Action, Adventure, Family",67%,2000.0,"Kao the Kangaroo is a colorful, 3D platformer inspired by classic action-adventure series such as Rayman or Croc, The players assume control of Kao, who has to find his way back to Australia after being kidnapped from his homeland.",unspecified,unspecified,E
XCOM 2 Collection,"Action, Sci-Fi, Thriller",81%,2018.0,No information filled,Jacob Solomon,"Jon Bailey, Brandon Keener, Carlye Pollack",unspecified
Destruction Derby 64,Action,62%,1999.0,A destruction derby/racing game released for the Nintendo 64 in 1999 by THQ.,unspecified,unspecified,unspecified
Call of LDPR,"Action, Adventure",N/A%,2021.0,No information filled,Dmitry Efremov,"Mikhail Bagrov, Evgeniya Gerus, Dmitry Kantemirov, Yuriy Khovanskiy",unspecified
Raiden DX,"Action, Sci-Fi",68%,1994.0,Raiden DX is an arcade shoot'em up. The game features similar vertically scrolling shooter gameplay as in its predecessors Raiden and Raiden II.,unspecified,Shuichi Mori,unspecified
Slaycation Paradise,Action,N/A%,2022.0,Arcade-style shooter in which players take on the role of a multi-dimensional tourist on vacation to various alternative versions of Earth.,unspecified,unspecified,16
Kirara Fantasia,Action,N/A%,2017.0,A mobile fantasy RPG using characters from the manga magazines under the Manga Time Kirara brand.,unspecified,unspecified,unspecified
Attack of the Movies 3-D,Action,37%,2010.0,"You go through levels paying homage to the golden age of cinema, battling enemies.",unspecified,Ryan Wickerham,T
Bachelor Party,Action,47%,1982.0,No information filled,unspecified,unspecified,unspecified
Motor Toon Grand Prix 2,"Short, Action, Adventure",76%,1996.0,No information filled,Kazunori Yamauchi,Dennis Falt,E
The Empire Strikes Back,"Action, Adventure, Sci-Fi",79%,1992.0,"The game follows the storyline of the movie. You play as Luke Skywalker, who must find Yoda to learn the path of the Jedi.",unspecified,unspecified,E
Steel Division Normandy 44,Action,N/A%,2017.0,"Steel Division: Normandy 44 is a Tactical Real-Time Strategy game puts players in command of detailed, historically accurate tanks, troops, and vehicles at the height of World War II.",unspecified,unspecified,unspecified
Kirikou,"Animation, Action, Adventure",N/A%,2001.0,3D platformer based on the animated film,unspecified,Jean-Marie Nazaret,unspecified
AquaNox,"Action, Adventure, Sci-Fi",66%,2001.0,"Emerald ""Dead Eye"" Flint returns in this sequel to Archimedean Dynasty (1996) as a mercenary in a world where nuclear war destroyed the surface, so new corrupt futuristic megalopolises rose under the ocean. Someone steals his sub.",unspecified,"Alison Kelly, Britta Schmunz, Campino Milligan, Chazz Gaither",unspecified
Star Wars: The Empire Strikes Back,"Action, Sci-Fi",%,1992.0,No information filled,unspecified,unspecified,unspecified
Heretic Kingdoms: The Inquisition,"Action, Fantasy",59%,2005.0,RPG set in a medieval fantasy world where religion is forbidden. A female mage is sent on a quest to destroy a legendary weapon known as the Sword of the God Slayer. But someone has stolen it.,unspecified,"Tom Baker, Gérard Dessalles, Hans-Gerd Kilbinger",M
Dick Tracy,"Action, Crime, Mystery",%,1990.0,No information filled,unspecified,unspecified,unspecified
Blake Stone: Aliens of Gold,"Action, Sci-Fi",65%,1993.0,No information filled,unspecified,unspecified,unspecified
Rez Infinite,"Action, Sci-Fi",56%,2016.0,No information filled,unspecified,"Osamu Kodera, Tetsuya Mizuguchi",E10+
Firefighter F.D.18,"Action, Drama, Mystery",75%,2004.0,"When the fire broke out in the Tunnel of interstate 42, the firefighters along with Dean McGregor came to bring the situation under control by putting out the fires and rescuing all trapped survivors. When they found one of the survivors Senator Harris Blackwell, they rescued him. Just when Dean and the firefighters' situation in the Tunnel was taken care of, another fire broke out in the Laboratory building. Dean, who is extremely disturbed and haunted by his tragic past must come along with the other firefighters to rescue the survivors and put out the fire in the Laboratory building. Just upon reaching the area where another survivor Paul Murphy was, the bridge he was standing on both had the path destroyed, leaving him stranded and at the same time, Dean was able to put out the fire in the bridge area. However, Dean tries to rescue Paul Murphy, but Paul Murphy was badly burnt and the bridge collapse taking Paul Murphy's corpse with him into the pit. Disturbed and full of guilt, Dean McGregor was prompted by Craig Andrews to leave the Lab. Later, in the Cruiser, the firefighters gather in a formal party room to be congratulated on putting the fire out of the Tunnel and the Lab. Later, Dean McGregor stands outside of the deck with so many things on his mind. Emilie Arvin, the news reporter who Dean rejected the live interview during the fire in the tunnel, wanted to find out why Dean is so upset and disturbed. While Dean explains many tragic pasts including the time he lost his sister during the fire several years ago, Dean was forced to fight the fire again as it broke out this time on the Cruiser. Dean suspects that there was an arsonist who was linked to Paul Murphy was behind the worst arson committing. Will Dean be able to stop the arsonist from committing such atrocious crime?",Tatsuma Minami,"Eric Kelso, Rumiko Varnes, Christian Storms, Charles Glover",T
Eternal Champions,"Action, Sci-Fi",67%,1993.0,The Eternal Champion gathers nine key individuals from different time periods who have died trying to change the future for the greater good. He arranges a contest for these nine individuals and will reward the winner with the gift of life.,unspecified,"Jeffrye Tveraas, David Delia, Carolyn des Pres",M
World of Demons,"Action, Adventure, Fantasy",N/A%,2018.0,"The game let you play as Japanese samurai in medieval Japan. The docile creatures known as Yokai are being corrupted by the evil Oni monsters. Together with your team of samurai, you must fight the Oni to claim back the Yokai and restore peace to the land.",Ryoya Sakabe,"Kazuhiro Nakaya, Sayaka Senbongi, Kôji Ishii, Satoshi Taki",unspecified
Smalland,Action,N/A%,2021.0,"""There was a time when we lived freely under the Sun and Moon, before the time of the giants. This history has passed down from generation to generation so we can see them again, even if only in dreams. But now we are ready to return to the surface and you, vanguard, will lead the way..."" Explore the vast ""Land of the Small"". Traverse lake sized puddles, scale skyscraper sized trees, battle or tame creatures, discover the dense dark forests and the strange metallic monoliths left over from before.",unspecified,Kev Harrison,unspecified
Tunnel Rats: 1968,Action,N/A%,2009.0,"Brooks, an American soldier serving in the Vietnam War, is sent on a mission to clear out Vietcong controlled tunnels. When his helicopter is shot down over hostile territory, Brooks becomes the only surviving member of his platoon, and must survive at all costs.",unspecified,unspecified,unspecified
Immercenary,"Action, Sci-Fi",N/A%,1995.0,"In the future, mankind has been enslaved in a virtual reality simulation known as Perfect. This simulation is controlled by an entity known as Perfect1 and it has to be destroyed in order to shut down the system. You are Immercenary Number Five, and it's your job to do it. From a secret lab, you log into the simulation which sends you to a place in Perfect known as the Garden. Every entity in the game has a certain rank that determines its offensive and defensive capabilities. You start at 255, the lowest rank, and must rise in ranks to defeat Perfect1, who holds rank number 1. To do so, you destroy higher-ranked Rithms, as the other entities in the game are called. To pass beyond certain ranks, unique Rithms high in the Perfect hierarchy have to be destroyed. Different weapons and power-ups can be collected and spent offensive and defensive energy can be recharged at energy spires. In the center of the Garden is a place called DOAsys, which functions as a neutral zone and healing center. There you can talk to other Rithms and ask for hints about combating special Rithms and where to find special items. These dialogue sequences take the form of live-action clips of actors in elaborate costumes playing the Rithms. When the player logs out of the simulation or is violently forced out, he returns to the lab where one may load and save a game and access detailed statistics on the trips to Perfect.",unspecified,"Christina Block, Clayton Bowles, Todd Bowles, Karen Jo Briere",unspecified
Moon Diver,"Action, Adventure, Fantasy",N/A%,2011.0,"The Earth lies in ruins. In the year 2081, five warriors suddenly appeared during an eclipse and began the fight to take back Earth. Introducing Moon Diver, an easy-to-control side-scrolling action game for 1-4 players. Get ready for non-stop acrobatic action on the ground, walls, and even ceilings. Characters can level up, gain new abilities, and unleash devastating special attacks known as MoonSault Combinations.","Fumihiro Asami, Franko F. Fonseca","Takehito Sasaki, Juri Mori, Ryôkichi Takahashi, Takehiro Kaminagayoshi",E10+
The Spy Who Shrunk Me,"Action, Thriller",N/A%,2019.0,No information filled,unspecified,unspecified,unspecified
Star Cruiser,"Action, Sci-Fi",N/A%,1977.0,No information filled,unspecified,unspecified,unspecified
Chess Wars,"Action, Drama",N/A%,1996.0,This chess simulator uses short full motion video sequences to somewhat violently illustrate the moments when chess pieces capture one another. The setting is medieval England and murderous Black kingdom is invading the White kingdom.,Paul W. Cooper,"Andrew Calder, Kirk B.R. Woller",unspecified
Harley-Davidson: The Road to Sturgis,Action,N/A%,1989.0,"It is 10 days until the famous Annual Motorcycle Rally in Sturgis, South Dakota. You as the proud owner of a Harley Davidson will do everything to make sure to arrive there in time and style.",unspecified,unspecified,unspecified
Fire Pro Wrestling World,Action,76%,2017.0,No information filled,"Tomoyuki Matsumoto, Toshiaki Tamura","Eric Kelso, Takashi Matsumoto, Suzanne Neuhauser, Walter Roberts",unspecified
Crash 'n Burn,"Action, Sci-Fi, Sport",%,1993.0,Car combat and racing game for 3DO set in a dystopian future of 2044.,David Burke,"Curtis T. Branon, Rick Cittar, Terry Gault, A.C. Griffing",T
The Salvaged Breached,"Animation, Action, Adventure",N/A%,unspecified,No information filled,Blaze Gaming,"Baldi Guzzy, Virtua Green, Blaze Gaming, Supra",unspecified
Angry Birds Dream Blast,"Action, Adventure, Family",38%,2019.0,"Pop Dream Bubbles and unleash the powerful blasts of your favorite Angry Birds characters, Discover awesome locations, solve endless puzzles, and enjoy exciting events in this bubble blasting adventure.",unspecified,unspecified,E
Contract J.A.C.K.,"Action, Adventure",57%,2003.0,"An Italian criminal organization has plans to take down H.A.R.M. a criminal organization central to the No One Lives Forever series and John Jack, a professional killer recruited by H.A.R.M. must stop them.",unspecified,"John Armstrong, Jock Blaney, Ken Boynton, Collin Byrne",M
Ultrawings 2,Action,N/A%,2022.0,No information filled,"Christopher Stockman, Randall Ryan","Ian James Corlett, Dave Fennoy, Elizabeth Maxwell",unspecified
Foreclosed,"Action, Adventure",46%,2021.0,Action-shooter in which players follow the story of a man who must fight back against the bureaucracy that removed his identity and his job.,unspecified,unspecified,16
Robot Tank,Action,67%,1983.0,No information filled,unspecified,unspecified,Unrated
Invizimals,Action,72%,2009.0,No information filled,unspecified,"Suanne Braun, Liam Rooke",unspecified
SteamWorld Dig,"Animation, Action, Adventure",74%,2013.0,"Take the role of Rusty, a lone mining steambot, as he arrives at an old mining town in great need. Dig your way through the old earth, gaining riches while uncovering the ancient threat that lurks below.",unspecified,unspecified,E10+
Super Motherload,Action,57%,2013.0,No information filled,unspecified,"Mary Hulbert, Doug Hoyer, Emily Bachynski, Jim Cuming",unspecified
Fire Commander,Action,N/A%,2022.0,No information filled,unspecified,"Sara Secora, Joey Sourlis",unspecified
KickBeat,Action,56%,2013.0,No information filled,unspecified,"Todd Haberkorn, Lauren Landa",unspecified
Until You Fall,"Action, Adventure, Fantasy",59%,2019.0,No information filled,Dave Bennett,Zehra Fazal,T
Hell Yeah!: Wrath of the Dead Rabbit,"Action, Adventure, Comedy",63%,2012.0,A hellbound rabbit seeks revenge on a villain who has publicly humiliated him.,unspecified,Aurélien Regard,T
Skies of Arcadia: Legends,"Action, Adventure, Fantasy",82%,2002.0,An enhanced version of 'Skies of Arcadia' for the Gamecube.,unspecified,Tetsuya Ohtsubo,T
Eugen System's Warno,Action,N/A%,2022.0,"WARNO is a military-themed real-time strategy game that features in-depth and, oftentimes, sophisticated army management and control on the battlefield.",unspecified,Madison Cannon,Unrated
Blue Estate: The Game,"Action, Crime",69%,2014.0,No information filled,unspecified,"Doug Rand, Ernesto Brandon, Barry Johnson, David Coburn",M
Rolling Thunder,"Action, Adventure, Crime",%,1986.0,"Rolling Thunder is a run-and-gun shooter action game produced by Namco, The player takes control of a secret agent who must rescue his female partner from a terrorist organization.",unspecified,unspecified,Unrated
Kaze and the Wild Masks,"Action, Adventure, Fantasy",%,2021.0,"Go on a journey as Kaze in this 90's classics inspired platformer, When the Crystal Islands get cursed, Kaze needs to save her friend Hogo while facing enraged living vegetables.",unspecified,"Cristiano Bartel, André Schaan",E
Vigilantes,Action,N/A%,2018.0,No information filled,Daithi McHugh,"Anthony Ingruber, Holly Lindin, Elissa Park, Glen Michael Cooper",unspecified
Capcom Fighting Evolution,Action,67%,2004.0,"Play as your favorite characters from Street Fighter II, Street Fighter Alpha, Street Fighter III, Darkstalkers, and Red Earth! Who will win?",Hidetoshi Ishizawa,"Kae Araki, Lawrence Bayne, Isshin Chiba, Patrick Galligan",T
Bart Simpson's Escape from Camp Deadly,"Action, Adventure, Comedy",58%,1991.0,Bart and Lisa endeavor to escape from a hostile and malicious summer camp.,unspecified,unspecified,unspecified
Beverly Hills Cop,"Action, Adventure, Thriller",18%,2007.0,No information filled,unspecified,Ren Burttet,12
Dragon Ball Z: Buu's Fury,Action,72%,2004.0,No information filled,unspecified,unspecified,E
Dragon Age: Inquisition - Jaws of Hakkon,"Action, Adventure, Fantasy",78%,2015.0,No information filled,Mike Laidlaw,"Robyn Addison, Brian Bloom, Gareth David-Lloyd, Alastair Parker",M
Recoil,Action,76%,1999.0,"Recoil is a vehicular combat tank-based Microsoft Windows video game. It involves the player driving a flying experimental tank known as the ""BFT"" through various missions.",unspecified,unspecified,unspecified
EverQuest: Omens of War,Action,N/A%,2004.0,No information filled,unspecified,unspecified,unspecified
Mad Rat Dead,"Action, Adventure, Music",N/A%,2020.0,"You've got one day to live and a huge score to settle. Time to put the ""beat"" in beatdown. Jump, dash, and smash to the rhythm in this music-based action platformer.",unspecified,unspecified,T
Samurai Warriors: Katana,"Action, Adventure, Fantasy",77%,2007.0,No information filled,Hiroshi Kataoka,"Takeshi Kusao, Jûrôta Kosugi, Jôji Nakata, Yûji Ueda",T
Shadow Warrior: Twin Dragon,"Action, Adventure, Comedy",N/A%,1998.0,No information filled,unspecified,John William Galt,unspecified
WarTech: Senko no ronde,"Action, Fantasy, Mystery",42%,2006.0,No information filled,Hiroyuki Maruyama,"Kenji Nojima, Ai Nonaka, Kozue Kamada, Hisayoshi Suganuma",T
Gettysburg: Civil War Battles,"Action, Adventure, History",21%,2002.0,No information filled,unspecified,Lana Titov,T
Gunstar Super Heroes,"Action, Adventure, Sci-Fi",%,2005.0,"Red and Blue, the heroes of Gunstar-9, are back for an all new side-scrolling adventure set across the same action packed blastfest that the original Gunstar Heroes provided all those years before.",unspecified,Tetsu Okano,E10+
Sonic Drift Racing,"Action, Family, Fantasy",57%,1995.0,"A kart racing game for the Game Gear featuring Sonic, Tails, Amy, Dr. Robotnik, Knuckles, Fang the Sniper, and Metal Sonic. It was the first game to let you play as Fang or Metal Sonic.",unspecified,Katsuhiro Hasegawa,K-A
Faceball 2000,Action,46%,1992.0,"A first person shooter game where you control a ball with a happy face on it and shoot other happy faces that are enemy's, the game plays similar to DOOM.",unspecified,unspecified,unspecified
Pixel Gun 3D,Action,66%,2014.0,Pixel Gun 3D is a fun first-person multiplayer shooter.,unspecified,unspecified,unspecified
Command & Conquer: Rivals,"Action, Sci-Fi, War",49%,2018.0,No information filled,unspecified,"Steve Blum, Amelia Borella, Erik Braa, Joey Camen",T
LEGO Legends of Chima Online,Action,N/A%,2013.0,"Explore the vast and dangerous World of CHIMA ruled by animal warriors in the brand new, free-to-play LEGO® Legends of CHIMA(TM) Online game. Play co-operatively with friends or venture out as the solo hero in an action-packed multiplayer adventure game based on the highly popular toy line and cartoon series from the LEGO® Group. Choose from the Lion, Eagle, Gorilla and Bear tribes and customize your very own warrior. Smash LEGO objects to collect studs, bricks and special items. Build and expand your Outpost to craft powerful weapons, armor, powers and gear to defeat the Croc, Raven, Rhino and Wolf tribes. Solve fun puzzles, complete challenging missions, and unleash the power of CHI in epic battles.",unspecified,unspecified,E
Pokémon Mystery Dungeon: Gates to Infinity,"Action, Adventure",67%,2012.0,"The player is a human who has a dream about a Munna being chased by a Hydreigon and calling for help. The human then wakes up in a strange world and discovers they have been turned into Pokémon, and starts plummeting down through the sky to the ground. When they wake up, they find another Pokémon leaning over them and asking if they are okay. After introductions, the player accompanies this Pokémon through a cave to a desolate plot of land, which the Pokémon purchases. The Pokémon tells the player their dream of creating a Pokémon Paradise, and asks the player to help them. The player agrees and they become partners.","Hironori Ishigami, Seiichiro Nagahata",Alyson Leigh Rosenfeld,E
Bomberman World,Action,67%,1998.0,"This is Bomberman's first appearance on the PlayStation in North America. This version maintains the style of play of the 2D Bomberman games, but has a pseudo-3D look to it. Bomberman World features the one player story mode as found in all Bomberman games, but it most importantly has a five player battle mode. The multiplayer game has twelve different maps, along with three different modes of play.",Shigeki Fujiwara,Lani Minella,E
Pinball FX3,Action,82%,2017.0,"Pinball FX3 is the biggest, most community focused pinball game ever created. Multiplayer matchups, user generated tournaments and league play create endless opportunity for pinball competition. All tables have received graphics updates including real-time lighting and shadow projection. Zen Studios will continue to support Pinball FX3 with frequent content releases and new features.",unspecified,Viktor Györei,unspecified
Shade: Wrath of Angels,Action,62%,2004.0,"Shade: Wrath of Angels is a chilling, cutting edge, 3D, action-horror title that will leave gamers gasping for more, offering thought-provoking action, unimaginable creatures, and a rich, intriguing story, full of twists and turns, along with untold surprises. Through ingenious storytelling, the players will endeavor to uncover the truth about many horrific events as they unravel the plot.",unspecified,unspecified,unspecified
Rise 2: Resurrection,"Action, Adventure, Sci-Fi",38%,1996.0,"The Cyborg Coton defeated his opponents and faced the Supervisor, who used her morphing ability to defeat him and assimilate him into her own consciousness. Coton's thought patterns were cloned and used to bolster the artificial intelligence of the Supervisor, who also used fragments of his conscious in selected robots to imbue them with the ability to improve upon their own design. Electrocorp scientists, fearing that Coton had been defeated and that the Supervisor would now target the city, prepared a counter-virus based on EGO from the information Coton had earlier sent them. The Anarchy Virus was released to the main building of Electrocorp, and it infected most of the robots previously under Supervisor's control - the robots waged war against each other, disconnecting from the neuron, quickly depleting the numbers of the Supervisor's army. Coton used the distraction caused by the malfunctioning robots to upload his consciousness to another robot, and prepared to either escape the Electrocorp building or to attempt another attack on the Supervisor. At this point, the story ends, and it is left open-ended and dependent on the player's ability whether Coton is successful in either attempt.",unspecified,Gary Leach,T
Indiana Jones and the Last Crusade: The Action Game,Action,44%,1989.0,"The computer/console version of ""Indiana Jones and the Last Crusade"" is a side-scrolling platformer and puzzle game. Indiana Jones climbs, puzzles, and whips his way through four levels in search of the Cross of Coronado, a shield, a diary, and ultimately the Holy Grail.",unspecified,unspecified,unspecified
Gigantic,Action,72%,2017.0,No information filled,unspecified,"David Attar, Logan Crislip, Brian Dobson, Michael Dobson",unspecified
Ragged Edge Extended,Action,N/A%,2012.0,No information filled,Christophe Kohler,Adam Riley,unspecified
Diet Go Go,"Action, Family, Fantasy",%,1992.0,No information filled,unspecified,unspecified,unspecified
Deadly Tide,"Action, Sci-Fi",N/A%,1996.0,"On January 10th 2445, alien invasion force is stopped by Earth's squadron. However, one alien ship reaches Earth and lands on the bottom of the sea. Five years later, you're sent on the bottom in a fighter hovercraft to take them out.",unspecified,unspecified,unspecified
Knife Edge: Nose Gunner,Action,51%,1998.0,No information filled,unspecified,Ege Güner,E
Hauntsters,Action,N/A%,2015.0,No information filled,Eric Ruth,"Anne Akhila, David Autovino, Chris Cantrell, Juese Cutler",unspecified
Prime Target,Action,N/A%,1996.0,No information filled,unspecified,"Les Collins, Walter Weaver, Kathleen Humphrey, John Borgfelt",unspecified
Midnight Raiders,"Action, Adventure, Crime",67%,1994.0,You get orders to execute a top secret mission to rescue a kidnapped scientist. There's only one problem: the CIA wants no survivors.,Sam Nicholson,"Mychelle Charters, David L. Crowley, Michael Gregory, Todd Jensen",unspecified
Dragon Ball Z: Collectible Card Game,Action,N/A%,2002.0,A Game Boy Advance Game based on the Dragon Ball Z Trading Card Game by Score Entertainment.,unspecified,unspecified,E
Modern Ops,Action,N/A%,2019.0,No information filled,unspecified,"Scott Tunnix, Alaina Wis",unspecified
The Shadow of Zorro,"Action, Adventure, Comedy",52%,2002.0,"Don Diego de La Vega, secretly the people's hero Zorro, must investigate the new Captain of the garrison, Faeries, who may well be the infamous Saragossa Butcher himself.",David Legrand,"David Gasman, Geoffrey Bateman, Allan Wenger, Gay Marshall",T
Trip World,"Action, Adventure, Family",N/A%,1992.0,"When their symbol of peace, the Flower of Maita, is stolen, Only Yakopoo can save the day. Advance through each world by using Yakopoo's transformations: fly, swim, become a bouncing ball and more, all to retrieve the flower.",unspecified,Yuichi Ueda,E
Asterix & Obelix XXXL: The Ram from Hibernia,Action,N/A%,2022.0,Join Asterix and Obelix in a brand-new original story in Hibernia. Explore this crazy action-adventure in a local coop mode up to 4 players.,Hubert De Buyer,"Brian Bowles, Roisin Rankin, George Weightman",unspecified
Danger Girl,"Action, Adventure, Mystery",%,2000.0,Based of a North American comic book series created by J. Scott Campbell and Andy Hartnell. The comic stars a group of female secret agents who engage in crazy adventures and are led by a former British Secret Service Agent named Deuce.,unspecified,"Lani Minella, Erin Ashe, Suzana Norberg, Kai Vilhelmsen",T
The Legend of Nayuta: Boundless Trails,"Action, Adventure, Fantasy",62%,2012.0,No information filled,unspecified,"Mai Aizawa, Tomohisa Asô, Ryô Hirohashi, Ai Kayano",unspecified
Aeon Drive,Action,N/A%,2021.0,No information filled,unspecified,"Kira Buckland, Kinsey Alley",unspecified
Garfield and His Nine Lives,"Action, Adventure, Comedy",55%,2006.0,"This 2D platform game is Garfield's second adventure on the Gameboy Advance. After eating too much lasagna, Garfield has a nightmare about food and killer fridge. Despite the title, the game is not based on the movie of the same name.",unspecified,unspecified,unspecified
Heroes Over Europe,"Action, War",63%,2009.0,No information filled,unspecified,Randall Berger,T
Kakuto Chojin: Back Alley Brutal,Action,67%,2002.0,"It's a fighting game where each character has two styles of fighting; the ""Kakuto"" and the ""Chojin""",Kunihiko Nakata,"Jin Dai, Javier Gamir, Paqui Horcajo, Gérard Surugue",T
